F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
8,16,2,0.634131042579391,2.5471659095775814e-05,128,0.0003030088405181484,0.947401072682117,0.933563297469342,0.9637822588256494,0.08955890716363986
8,8,4,0.18463296029798004,1.359807186908951e-05,64,0.00014318798607877405,0.9667219239125732,0.952873542434309,0.9824411723921042,0.07099890563151111
8,16,8,0.41918139531955056,6.349577740603107e-05,64,3.618910158093432e-05,0.9648778589302093,0.9549187036949025,0.9758524644239143,0.07101830143643462
4,8,8,0.1121872496700353,0.0008786980779890255,256,0.004816546132911367,0.9489783452682178,0.9574980411029053,0.9411035250484018,0.07820231840014458
16,8,8,0.38416334500242744,1.0024457868454064e-05,256,0.006811747381591768,0.961329841987132,0.9540539010380032,0.9694069564847919,0.0706684881200393
8,16,2,0.22066116417382065,1.6413338509932647e-05,256,0.0010233218939908906,0.9576000278193634,0.9462203913480153,0.9703879835495973,0.07441630711158116
8,16,4,0.19223815962822166,0.00036545579910001716,32,0.0018908988645410757,0.9667097169888752,0.9633412441142251,0.9703915457393751,0.06687665042852092
16,16,2,0.324448297300447,6.6602338779345e-05,32,1.3652228489997789e-05,0.9680494923625419,0.9597775912622328,0.9769766915177872,0.06772615066375179
4,16,2,0.5341620756047222,0.0001240611954319157,64,1.3284498087486863e-05,0.9465543487370378,0.923122070868556,0.9763939990253148,0.08307023694657761
4,16,2,0.12473993665157797,0.0008288975753081865,256,0.0001262443753987097,0.9577214132493137,0.9608790129177017,0.9546998545026505,0.0701720118522644
16,32,2,0.33235498036200944,8.251194245886343e-05,32,1.1478780420286013e-05,0.9693616971084471,0.9571198098589869,0.9830032859390406,0.0707632413626846
16,32,2,0.3328417208451954,7.792226533137181e-05,32,1.0853034287879244e-05,0.9658693916631039,0.9557562807562808,0.9769766915177872,0.0691431013393689
32,32,2,0.3083130475867101,0.0001576267906705285,32,3.830389757037512e-05,0.9662227149482154,0.9625932460198183,0.970108707871018,0.06640957958552463
16,32,2,0.47051011195053694,4.134588386523421e-05,32,4.060040672171418e-05,0.9663791644537142,0.9547718260170387,0.9794909668181321,0.06992208343581297
16,32,2,0.28236094393646827,0.0001932619305457479,32,2.5180273711005862e-05,0.9601954085222246,0.950439953933134,0.9709500970965338,0.0695956733325938
16,32,4,0.499077744559542,4.784925912685647e-05,128,6.915360303202149e-05,0.9648738783215703,0.9550776798158284,0.9757128265846245,0.07277549725646774
32,32,2,0.38054111864764467,0.0002457718293164558,32,1.0506047996907796e-05,0.9646256857292879,0.9626983066206455,0.9666098433160899,0.06373558572680771
16,16,2,0.6024932299548313,2.9527278818546302e-05,32,0.0006228106838368567,0.9652245696823423,0.9619391597027455,0.9688448429378553,0.07092221988537147
16,32,8,0.25776653492170887,9.707765444466385e-05,32,9.689907765276655e-05,0.9636623917999275,0.9579448747370435,0.9698258700026609,0.06621600111880664
16,8,4,0.4301999218082358,0.00032807263074253096,128,2.0991357472945348e-05,0.9650764242744697,0.959033967362053,0.9715122106434704,0.06703849602490664
32,32,2,0.34027163306294245,5.786154693998908e-05,32,0.00024833251941456434,0.9617519982271419,0.9498904398720387,0.9750075130086207,0.06725108390420918
8,8,4,0.1758130806314788,1.1471400194518907e-05,64,0.00015531401052541069,0.9607462427253738,0.9495508568269763,0.9734643723968787,0.07532034628093243
8,8,4,0.2512393866864839,2.055158870920062e-05,64,1.8947432226364434e-05,0.9700424024810431,0.9602979660404382,0.9808980317803622,0.0737219241488239
16,8,4,0.2554674892715744,2.1386710552032182e-05,64,2.094201283059875e-05,0.9678781350067697,0.9557072278509341,0.981456583137521,0.06846887221478898
16,8,4,0.6992320521301457,4.037810320388766e-05,64,5.417262574317252e-05,0.9678566813130008,0.9565240723592588,0.9807583939410726,0.06994603768638942
8,8,4,0.3575776184785753,9.544046163404694e-05,32,1.8771994039570136e-05,0.9635055735520851,0.9581266450425064,0.9694069564847919,0.06752148363581079
32,16,2,0.2933519216609159,3.653279950192325e-05,64,1.537136691816701e-05,0.9668809761441789,0.9550231931736547,0.9801927182043583,0.07075988003255232
4,32,4,0.23822094568157912,2.0380980935138715e-05,128,2.940964241033842e-05,0.9544764103994675,0.9413947303299942,0.9694033942950141,0.08051731499532859
16,16,8,0.4399173888122201,0.00013616587911348963,32,6.730151773818122e-05,0.9673465035116905,0.9574775178354248,0.9782441186407277,0.06527542411387675
